#T_e[K]	nu_ee_Fourment[1/s]	nu_ee_Kirkwood[1/s]	nu_ei[1/s]	nu_c[1/s]	nu_tot_Fourment[1/s]	nu_tot_Kirkwood[1/s]
3.000000000000000e+02	0.000000000000000e+00	4.331921552258015e+11	1.449275362318841e+14	1.729874503276287e+16	1.449275362318841e+14	1.453607283871099e+14
3.009700970097010e+02	-1.925061474581188e+09	4.359982743444177e+11	1.449275362318841e+14	1.729879635213882e+16	1.449256111704095e+14	1.453635345062285e+14
3.019401940194019e+02	-3.842580272014902e+09	4.388134528414602e+11	1.449275362318841e+14	1.729884767136252e+16	1.449236936516120e+14	1.453663496847255e+14
3.029102910291029e+02	-5.752455569305283e+09	4.416376907169289e+11	1.449275362318841e+14	1.729889899043398e+16	1.449217837763148e+14	1.453691739226010e+14
3.038803880388039e+02	-7.654587438696925e+09	4.444709879708239e+11	1.449275362318841e+14	1.729895030935320e+16	1.449198816444454e+14	1.453720072198549e+14
3.048504850485049e+02	-9.548876457592239e+09	4.473133446031453e+11	1.449275362318841e+14	1.729900162812017e+16	1.449179873554265e+14	1.453748495764872e+14
3.058205820582058e+02	-1.143522412421499e+10	4.501647606138927e+11	1.449275362318841e+14	1.729905294673490e+16	1.449161010077598e+14	1.453777009924980e+14
3.067906790679068e+02	-1.331353266576678e+10	4.530252360030664e+11	1.449275362318841e+14	1.729910426519740e+16	1.449142226992183e+14	1.453805614678871e+14
3.077607760776078e+02	-1.518370512795530e+10	4.558947707706664e+11	1.449275362318841e+14	1.729915558350765e+16	1.449123525267561e+14	1.453834310026547e+14
3.087308730873087e+02	-1.704564519594036e+10	4.587733649166926e+11	1.449275362318841e+14	1.729920690166568e+16	1.449104905866881e+14	1.453863095968008e+14
3.097009700970097e+02	-1.889925738617913e+10	4.616610184411450e+11	1.449275362318841e+14	1.729925821967146e+16	1.449086369744979e+14	1.453891972503252e+14
3.106710671067107e+02	-2.074444694410992e+10	4.645577313440236e+11	1.449275362318841e+14	1.729930953752501e+16	1.449067917849399e+14	1.453920939632281e+14
3.116411641164116e+02	-2.258112006797163e+10	4.674635036253286e+11	1.449275362318841e+14	1.729936085522633e+16	1.449049551118161e+14	1.453949997355094e+14
3.126112611261126e+02	-2.440918329490218e+10	4.703783352850598e+11	1.449275362318841e+14	1.729941217277542e+16	1.449031270485892e+14	1.453979145671691e+14
3.135813581358136e+02	-2.622854435784476e+10	4.733022263232172e+11	1.449275362318841e+14	1.729946349017228e+16	1.449013076875262e+14	1.454008384582073e+14
